SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J122813.37+050001.4,187.05577,5.00038,0.083,11.08(0.12),16.314(0.005),15.910(0.007),22.05(0.09),22.50(0.71),-2.43(0.21) 
J122814.38+005250.2,187.05996,0.88064,0.118,11.46(0.11),16.094(0.004),15.654(0.003),21.77(0.07),21.88(0.07),-2.37(0.21) 
J122819.51-014458.3,187.08133,-1.74956,0.149,11.31(0.12),17.219(0.007),16.760(0.006),23.00(0.14),24.04(0.25),-2.52(0.22) 
J122824.89-022236.9,187.10373,-2.37693,0.106,11.21(0.12),16.039(0.004),15.652(0.003),21.15(0.06),21.43(0.07),-2.16(0.21) 
J122907.63-014510.7,187.28179,-1.75296,0.149,11.48(0.12),16.358(0.005),15.941(0.004),20.86(0.05),20.78(0.05),-1.87(0.20) 
J122911.34+010712.5,187.29724,1.12013,0.118,11.51(0.14),16.549(0.005),16.036(0.004),20.18(0.03),19.95(0.03),-1.52(0.18) 
J122922.75+001824.2,187.34482,0.30674,0.110,11.26(0.15),16.177(0.004),15.754(0.004),19.92(0.03),19.48(0.02),-1.51(0.18) 
J122930.63+032942.5,187.37764,3.49516,0.078,11.12(0.14),16.218(0.004),15.769(0.004),20.67(0.04),20.47(0.04),-1.83(0.20) 
J123006.25+030151.3,187.52612,3.03099,0.079,11.22(0.12),15.631(0.003),15.242(0.003),22.35(0.09),21.94(0.08),-2.69(0.22) 
J123015.74+031854.7,187.56563,3.31522,0.138,11.48(0.14),16.839(0.006),16.358(0.005),22.19(0.08),21.59(0.07),-2.12(0.21) 
J123029.66-011927.2,187.62362,-1.32423,0.149,11.14(0.11),17.467(0.008),17.033(0.006),23.90(0.19),23.38(0.15),-2.56(0.22) 
J123030.49-003313.5,187.62709,-0.55377,0.114,11.13(0.11),16.845(0.006),16.374(0.005),22.60(0.10),22.66(0.10),-2.40(0.21) 
J123050.49+000333.9,187.71038,0.05945,0.136,11.23(0.14),17.291(0.007),16.845(0.006),23.87(0.18),23.50(0.17),-2.65(0.22) 
J123111.42+030336.6,187.79762,3.06021,0.133,11.29(0.12),16.915(0.006),16.470(0.005),21.69(0.06),23.73(0.23),-2.18(0.21) 
J123111.57+024639.8,187.79825,2.77775,0.139,11.07(0.12),17.661(0.009),17.224(0.007),99.00(99.00),99.00(99.00),nan(99.00) 
J123115.96-000629.1,187.81652,-0.10810,0.093,11.06(0.12),16.538(0.005),16.134(0.004),22.30(0.08),22.17(0.08),-2.36(0.21) 
J123117.73+053405.7,187.82387,5.56828,0.084,11.20(0.13),15.882(0.004),15.499(0.003),20.96(0.06),20.86(0.05),-2.09(0.21) 
J123122.37-020312.3,187.84322,-2.05343,0.138,11.09(0.11),17.504(0.008),17.114(0.007),23.30(0.18),21.97(0.09),-2.09(0.21) 
J123137.20-003104.2,187.90506,-0.51784,0.148,11.35(0.15),17.342(0.008),16.894(0.006),21.96(0.08),21.65(0.06),-1.88(0.20) 
J123205.27-000255.3,188.02200,-0.04871,0.113,11.05(0.15),16.960(0.006),16.554(0.005),21.95(0.07),21.73(0.06),-2.03(0.21) 
J123206.74+045057.9,188.02807,4.84943,0.129,11.10(0.15),17.516(0.008),17.140(0.007),23.00(0.16),23.40(0.17),-2.32(0.21) 
J123208.81+034100.9,188.03675,3.68359,0.143,11.37(0.14),16.742(0.006),16.329(0.005),21.82(0.07),22.03(0.09),-2.14(0.21) 
J123232.18+034720.7,188.13413,3.78908,0.098,11.04(0.16),16.454(0.005),16.038(0.004),25.73(0.39),24.14(0.23),-3.41(0.22) 
J123236.58+034754.3,188.15245,3.79845,0.099,11.65(0.11),15.269(0.003),14.825(0.002),19.66(0.02),19.37(0.02),-1.79(0.20) 
J123309.57+033451.2,188.28991,3.58094,0.119,11.51(0.16),16.159(0.004),15.719(0.004),21.80(0.07),21.47(0.06),-2.28(0.21) 
J123313.15-005951.6,188.30481,-0.99768,0.118,11.27(0.12),16.497(0.005),16.055(0.004),23.10(0.13),23.36(0.14),-2.76(0.22) 
J123323.45+035045.3,188.34774,3.84591,0.125,11.17(0.13),16.722(0.006),16.328(0.005),19.79(0.02),19.49(0.02),-1.27(0.14) 
J123323.56+052730.2,188.34818,5.45841,0.135,11.19(0.12),17.413(0.008),16.959(0.006),23.26(0.17),99.00(99.00),-2.65(0.22) 
J123330.61+034355.4,188.37759,3.73208,0.123,11.36(0.16),16.686(0.006),16.211(0.004),20.42(0.03),20.02(0.03),-1.52(0.18) 
J123332.11+032946.6,188.38380,3.49633,0.122,11.20(0.17),17.035(0.006),16.577(0.005),22.08(0.08),21.88(0.08),-2.07(0.21) 
J123339.86+034501.6,188.41612,3.75047,0.123,11.07(0.12),17.177(0.007),16.761(0.006),22.33(0.10),22.77(0.13),-2.20(0.21) 
J123340.78+034430.9,188.41993,3.74192,0.122,11.14(0.16),17.085(0.007),16.698(0.006),21.33(0.06),21.41(0.06),-1.79(0.20) 
J123345.71+035715.4,188.44049,3.95429,0.125,11.20(0.12),16.960(0.006),16.526(0.005),23.73(0.18),23.03(0.13),-2.65(0.22) 
J123408.34+023423.1,188.53476,2.57309,0.136,11.07(0.14),16.984(0.006),16.573(0.005),21.97(0.07),22.34(0.10),-2.13(0.21) 
J123408.64+040610.8,188.53604,4.10301,0.088,11.08(0.12),16.519(0.005),16.096(0.004),22.82(0.12),22.95(0.13),-2.62(0.22) 
J123415.48+031147.9,188.56452,3.19664,0.123,11.22(0.12),17.204(0.007),16.745(0.006),21.42(0.06),21.17(0.05),-1.73(0.19) 
J123422.67+033044.2,188.59447,3.51229,0.145,11.19(0.16),17.366(0.008),16.914(0.006),22.49(0.10),22.59(0.11),-2.15(0.21) 
J123425.85+042835.3,188.60775,4.47648,0.135,11.38(0.16),16.912(0.006),16.440(0.005),21.04(0.05),20.54(0.04),-1.66(0.19) 
J123425.98+031450.9,188.60827,3.24749,0.146,11.19(0.13),17.209(0.007),16.812(0.006),21.73(0.06),22.16(0.09),-1.95(0.20) 
J123428.28+003351.6,188.61787,0.56436,0.138,11.34(0.14),17.054(0.007),16.679(0.005),21.23(0.05),21.00(0.04),-1.71(0.19) 
J123429.16+032854.7,188.62152,3.48187,0.121,11.24(0.12),16.676(0.005),16.240(0.004),22.69(0.11),21.32(0.06),-2.18(0.21) 
J123430.00+020750.8,188.62505,2.13079,0.144,11.35(0.12),16.966(0.006),16.536(0.005),99.00(99.00),22.12(0.08),-2.54(0.22) 
J123431.01+035834.6,188.62925,3.97628,0.084,11.31(0.12),15.519(0.003),15.073(0.003),20.29(0.03),20.49(0.03),-2.02(0.21) 
J123433.30-002510.4,188.63879,-0.41957,0.134,11.46(0.10),16.608(0.005),16.174(0.004),22.97(0.12),22.62(0.10),-2.56(0.22) 
J123439.99-002458.9,188.66667,-0.41636,0.135,11.09(0.10),17.361(0.008),16.936(0.006),24.40(0.24),99.00(99.00),-3.12(0.22) 
J123440.77+043643.9,188.66990,4.61221,0.148,11.55(0.10),16.556(0.005),16.132(0.004),20.79(0.04),20.44(0.04),-1.72(0.19) 
J123442.34+041957.9,188.67645,4.33278,0.084,11.27(0.11),16.079(0.004),15.652(0.003),23.29(0.15),22.64(0.11),-2.84(0.22) 
J123443.73+034153.0,188.68226,3.69807,0.117,11.29(0.13),16.819(0.006),16.380(0.005),22.37(0.09),23.08(0.15),-2.39(0.21) 
J123447.62+045027.8,188.69846,4.84109,0.085,11.25(0.11),15.959(0.004),15.542(0.003),22.42(0.10),21.85(0.07),-2.55(0.22) 
J123506.02+012834.5,188.77512,1.47625,0.144,11.63(0.11),16.072(0.004),15.675(0.003),21.56(0.06),20.99(0.05),-2.16(0.21) 
J123516.97+040708.0,188.82076,4.11891,0.147,11.36(0.12),17.216(0.007),16.781(0.006),23.03(0.13),23.17(0.16),-2.43(0.21) 
J123517.78+015836.1,188.82410,1.97669,0.143,11.63(0.10),16.437(0.005),16.026(0.004),22.39(0.10),21.53(0.07),-2.28(0.21) 
J123519.22+005506.7,188.83009,0.91850,0.140,11.14(0.14),17.192(0.007),16.804(0.006),23.68(0.17),25.30(0.46),-2.84(0.22) 
J123537.69+034000.1,188.90708,3.66671,0.083,11.36(0.11),15.710(0.003),15.288(0.003),21.46(0.06),22.67(0.11),-2.52(0.22) 
J123538.40+033656.4,188.91003,3.61568,0.147,11.27(0.15),16.935(0.006),16.523(0.005),21.74(0.07),21.37(0.06),-1.94(0.20) 
J123539.68+032159.8,188.91537,3.36664,0.135,11.43(0.11),16.586(0.005),16.150(0.004),23.44(0.14),22.42(0.11),-2.61(0.22) 
J123540.10+034252.8,188.91710,3.71468,0.146,11.75(0.10),15.989(0.004),15.560(0.003),20.97(0.04),20.45(0.04),-1.98(0.21) 
J123546.33+015651.1,188.94303,1.94755,0.080,11.02(0.10),16.312(0.005),15.917(0.004),23.04(0.13),21.55(0.07),-2.42(0.21) 
J123549.15+015210.4,188.95479,1.86955,0.080,11.31(0.09),15.445(0.003),15.032(0.003),23.43(0.14),28.70(3.06),-3.49(0.22) 
J123556.18+040046.7,188.98413,4.01301,0.143,11.28(0.19),17.390(0.008),16.992(0.006),22.81(0.12),22.67(0.11),-2.22(0.21) 
J123557.04+041405.4,188.98770,4.23485,0.130,11.03(0.13),17.626(0.008),17.169(0.007),23.61(0.17),99.00(99.00),-2.70(0.22) 
J123615.92+022938.8,189.06638,2.49413,0.144,11.42(0.16),16.662(0.005),16.240(0.004),21.00(0.05),20.73(0.05),-1.77(0.20) 
J123622.19+005000.3,189.09250,0.83343,0.106,11.02(0.13),16.823(0.006),16.442(0.005),24.58(0.24),23.80(0.20),-3.02(0.22) 
J123629.67-005159.4,189.12364,-0.86650,0.137,11.26(0.12),17.186(0.007),16.787(0.006),21.82(0.07),21.58(0.06),-1.89(0.20) 
J123637.14-005053.3,189.15478,-0.84813,0.142,11.01(0.15),16.837(0.006),16.487(0.005),21.29(0.05),21.19(0.05),-1.83(0.20) 
J123707.52-011049.2,189.28137,-1.18035,0.140,11.36(0.11),16.885(0.006),16.473(0.005),22.36(0.09),22.16(0.09),-2.23(0.21) 
J123707.58+004457.5,189.28161,0.74932,0.148,11.19(0.13),17.402(0.008),16.983(0.006),22.31(0.09),22.01(0.08),-1.99(0.21) 
J123712.00+020309.5,189.30003,2.05263,0.144,11.40(0.09),16.757(0.006),16.317(0.005),21.78(0.07),21.19(0.05),-1.98(0.21) 
J123717.61+004123.8,189.32341,0.68995,0.147,11.20(0.11),17.265(0.007),16.883(0.006),22.60(0.10),22.88(0.12),-2.25(0.21) 
J123717.84-010015.1,189.32435,-1.00420,0.135,11.03(0.14),17.341(0.008),16.989(0.006),22.05(0.08),22.24(0.09),-1.98(0.21) 
J123720.23+011845.1,189.33433,1.31256,0.141,11.16(0.13),17.032(0.006),16.652(0.005),22.34(0.09),22.60(0.11),-2.24(0.21) 
J123725.63+013453.1,189.35682,1.58146,0.144,11.19(0.12),17.214(0.007),16.824(0.006),22.67(0.10),22.95(0.13),-2.30(0.21) 
J123725.66-004326.8,189.35694,-0.72409,0.138,11.05(0.15),17.473(0.008),17.062(0.007),24.76(0.26),99.00(99.00),-3.23(0.22) 
J123730.88-014347.7,189.37869,-1.72993,0.081,11.36(0.10),15.670(0.003),15.258(0.003),22.67(0.10),22.82(0.13),-2.90(0.22) 
J123741.36-012748.2,189.42236,-1.46340,0.138,11.14(0.10),17.357(0.008),16.924(0.006),23.13(0.14),99.00(99.00),-2.62(0.22) 
J123742.15-002441.4,189.42568,-0.41152,0.140,11.43(0.11),16.815(0.006),16.355(0.005),23.90(0.19),23.90(0.19),-2.92(0.22) 
J123744.44-013022.4,189.43519,-1.50624,0.136,11.29(0.14),17.074(0.007),16.633(0.005),99.00(99.00),23.45(0.17),-3.05(0.22) 
J123750.82-001553.9,189.46181,-0.26497,0.136,11.09(0.13),17.310(0.007),16.892(0.006),99.00(99.00),24.61(0.27),-3.43(0.22) 
J123752.00+011857.7,189.46672,1.31601,0.079,11.26(0.12),15.600(0.003),15.223(0.003),20.58(0.04),20.20(0.03),-2.00(0.21) 
J123800.57-014839.5,189.50241,-1.81102,0.135,11.17(0.15),17.211(0.007),16.752(0.006),21.54(0.06),21.43(0.06),-1.80(0.20) 
J123838.27+044010.3,189.65946,4.66955,0.135,11.24(0.15),17.146(0.007),16.696(0.006),22.42(0.10),22.19(0.09),-2.16(0.21) 
J123838.71+014150.0,189.66134,1.69727,0.144,11.05(0.14),17.545(0.008),17.135(0.007),22.81(0.11),22.94(0.14),-2.20(0.21) 
J123841.24+024005.1,189.67186,2.66810,0.094,11.23(0.13),16.206(0.004),15.811(0.004),21.91(0.07),21.51(0.06),-2.28(0.21) 
J123906.40+032533.7,189.77665,3.42600,0.073,11.11(0.18),16.129(0.004),15.698(0.003),99.00(99.00),99.00(99.00),nan(99.00) 
J123909.52+002100.2,189.78970,0.35009,0.117,11.16(0.10),16.860(0.006),16.438(0.005),99.00(99.00),99.00(99.00),nan(99.00) 
J123916.79+005125.2,189.81997,0.85701,0.148,11.27(0.09),17.363(0.007),16.898(0.006),23.64(0.16),24.19(0.24),-2.67(0.22) 
J123930.38+032649.8,189.87663,3.44717,0.148,11.38(0.11),16.907(0.006),16.476(0.005),22.37(0.10),22.25(0.10),-2.25(0.21) 
J123936.91+032522.5,189.90383,3.42293,0.148,11.71(0.10),16.197(0.004),15.790(0.004),21.86(0.07),22.85(0.11),-2.46(0.22) 
J124014.38-002447.0,190.05993,-0.41306,0.140,11.17(0.09),17.180(0.007),16.808(0.006),22.37(0.09),22.22(0.12),-2.12(0.21) 
J124015.80-013953.4,190.06587,-1.66484,0.134,11.21(0.12),17.171(0.007),16.756(0.006),21.82(0.08),21.26(0.06),-1.84(0.20) 
J124103.77+003027.9,190.26575,0.50776,0.144,11.13(0.15),17.475(0.008),17.080(0.007),22.02(0.08),21.95(0.08),-1.88(0.20) 
J124113.13+042554.6,190.30474,4.43186,0.116,11.47(0.11),16.078(0.004),15.605(0.003),20.63(0.04),20.26(0.03),-1.85(0.20) 
J124131.87+021832.5,190.38284,2.30902,0.093,11.19(0.11),16.032(0.004),15.606(0.003),24.74(0.30),99.00(99.00),-3.89(0.22) 
J124150.59+021724.3,190.46083,2.29009,0.146,11.16(0.10),17.289(0.007),16.853(0.006),22.85(0.11),23.16(0.15),-2.35(0.21) 
J124158.45+041209.5,190.49358,4.20267,0.136,11.12(0.11),17.326(0.007),16.914(0.006),22.90(0.12),22.05(0.09),-2.14(0.21) 
J124214.28+023259.8,190.55955,2.54995,0.120,11.55(0.13),16.023(0.004),15.613(0.003),21.54(0.06),21.65(0.07),-2.30(0.21) 
J124220.76-001306.3,190.58657,-0.21839,0.144,11.15(0.11),17.390(0.008),16.974(0.006),23.69(0.19),23.03(0.14),-2.47(0.22) 
J124222.72-004230.7,190.59473,-0.70854,0.134,11.34(0.20),17.025(0.006),16.548(0.005),21.32(0.05),21.19(0.05),-1.79(0.20) 
J124224.29-020254.9,190.60125,-2.04858,0.087,11.24(0.13),15.962(0.004),15.602(0.003),20.20(0.03),20.04(0.04),-1.74(0.19) 
J124243.32-002217.7,190.68055,-0.37160,0.148,11.20(0.25),17.527(0.008),17.060(0.007),22.61(0.10),22.80(0.12),-2.15(0.21) 
J124252.16-012530.9,190.71739,-1.42524,0.127,11.16(0.13),16.915(0.006),16.519(0.005),21.51(0.06),21.64(0.07),-1.94(0.20) 
J124305.60-004523.9,190.77339,-0.75666,0.143,11.44(0.11),16.777(0.006),16.353(0.005),23.21(0.13),24.79(0.33),-2.81(0.22) 
J124311.53+025112.4,190.79808,2.85346,0.106,11.05(0.13),16.801(0.006),16.403(0.005),22.99(0.14),22.34(0.11),-2.42(0.21) 
J124321.87+042144.1,190.84114,4.36228,0.102,11.39(0.12),15.963(0.004),15.535(0.003),23.70(0.17),23.21(0.15),-3.08(0.22) 
J124334.16+031930.2,190.89236,3.32508,0.088,11.09(0.13),16.509(0.005),16.109(0.004),21.41(0.05),21.57(0.06),-2.06(0.21) 
J124337.23+015859.8,190.90519,1.98327,0.136,11.51(0.12),16.485(0.005),16.024(0.004),21.35(0.06),20.56(0.04),-1.88(0.20) 
J124357.68+000620.1,190.99036,0.10560,0.118,11.09(0.12),17.016(0.006),16.608(0.005),22.16(0.08),21.83(0.07),-2.08(0.21) 
J124408.30+021333.4,191.03462,2.22597,0.084,11.12(0.14),16.233(0.004),15.805(0.004),21.05(0.05),20.07(0.03),-1.81(0.20) 
J124420.27+010545.5,191.08451,1.09596,0.090,12.17(0.20),15.384(0.003),14.988(0.003),19.53(0.02),19.14(0.02),-1.67(0.19) 
J124421.51+032509.4,191.08966,3.41930,0.133,11.17(0.14),17.207(0.007),16.802(0.006),22.25(0.08),21.82(0.07),-2.02(0.21) 
J124427.98+010558.9,191.11663,1.09967,0.124,11.03(0.14),17.636(0.009),17.220(0.007),24.08(0.20),22.65(0.11),-2.33(0.21) 
J124428.17-010620.6,191.11741,-1.10572,0.146,11.24(0.13),17.214(0.007),16.798(0.006),23.18(0.13),22.08(0.08),-2.23(0.21) 
J124454.32+012626.7,191.22637,1.44077,0.139,11.31(0.17),16.559(0.005),16.147(0.004),21.45(0.06),21.20(0.05),-1.99(0.21) 
J124454.62+005121.9,191.22763,0.85613,0.090,11.40(0.13),15.785(0.004),15.388(0.003),21.35(0.06),20.66(0.04),-2.17(0.21) 
J124512.36-004524.9,191.30154,-0.75692,0.141,11.07(0.13),17.576(0.008),17.163(0.007),24.62(0.29),24.31(0.25),-2.84(0.22) 
J124512.93-004056.5,191.30393,-0.68235,0.104,11.06(0.19),16.654(0.005),16.305(0.005),21.85(0.07),21.48(0.06),-2.08(0.21) 
J124537.31+004328.3,191.40551,0.72455,0.089,11.11(0.12),16.445(0.005),16.057(0.004),22.68(0.11),22.77(0.12),-2.58(0.22) 
J124600.45+032441.1,191.50190,3.41143,0.134,11.43(0.11),16.626(0.005),16.192(0.004),22.60(0.10),22.06(0.09),-2.37(0.21) 
J124609.39+004222.3,191.53917,0.70619,0.089,11.38(0.11),15.996(0.004),15.579(0.003),20.88(0.04),20.66(0.04),-2.00(0.21) 
J124612.97+025455.1,191.55409,2.91531,0.140,11.08(0.12),17.391(0.008),16.987(0.006),23.13(0.14),23.24(0.18),-2.39(0.21) 
J124634.43+025026.1,191.64350,2.84058,0.134,11.14(0.14),17.051(0.006),16.620(0.005),21.15(0.05),21.07(0.05),-1.71(0.19) 
J124646.27-001706.5,191.69279,-0.28515,0.132,11.02(0.12),17.372(0.008),16.979(0.006),22.76(0.11),23.37(0.16),-2.31(0.21) 
J124650.57+000134.3,191.71071,0.02620,0.090,11.12(0.13),16.395(0.005),15.979(0.004),21.75(0.07),21.65(0.07),-2.20(0.21) 
J124655.14+015414.7,191.72978,1.90411,0.147,11.28(0.11),17.044(0.007),16.600(0.005),22.18(0.08),22.30(0.11),-2.16(0.21) 
J124656.24-021200.7,191.73433,-2.20020,0.082,11.49(0.16),15.708(0.004),15.250(0.003),20.22(0.04),20.29(0.05),-1.90(0.20) 
J124658.64+013417.7,191.74438,1.57160,0.095,11.07(0.12),16.521(0.005),16.146(0.004),21.63(0.06),20.80(0.05),-1.95(0.20) 
J124708.37+044023.5,191.78488,4.67322,0.135,11.11(0.16),17.271(0.007),16.869(0.006),23.33(0.15),22.80(0.12),-2.40(0.21) 
J124709.06+011343.7,191.78778,1.22884,0.129,11.52(0.11),16.208(0.004),15.811(0.004),21.42(0.06),21.12(0.05),-2.11(0.21) 
J124709.30-013750.6,191.78878,-1.63075,0.124,11.45(0.12),16.175(0.004),15.794(0.004),24.00(0.19),21.64(0.07),-2.58(0.22) 
J124711.19+005137.6,191.79668,0.86046,0.131,11.56(0.11),16.072(0.004),15.664(0.003),22.26(0.09),21.77(0.08),-2.46(0.22) 
J124714.68-022154.7,191.81119,-2.36521,0.146,11.19(0.14),17.340(0.008),16.905(0.006),22.00(0.09),21.89(0.09),-1.93(0.20) 
J124719.20+022345.4,191.83005,2.39595,0.136,11.39(0.11),16.663(0.005),16.242(0.005),21.08(0.05),20.70(0.04),-1.78(0.20) 
J124724.30+015655.0,191.85128,1.94865,0.108,11.00(0.18),16.440(0.005),16.038(0.004),21.67(0.07),21.25(0.06),-2.09(0.21) 
J124733.54-012919.9,191.88979,-1.48890,0.089,11.10(0.12),16.499(0.005),16.087(0.004),22.54(0.10),22.09(0.10),-2.41(0.21) 
J124738.26+002057.4,191.90947,0.34929,0.147,11.32(0.14),16.615(0.005),16.203(0.004),23.64(0.16),25.18(0.44),-3.04(0.22) 
J124812.21-012137.1,192.05093,-1.36033,0.083,11.22(0.14),16.175(0.004),15.785(0.004),22.15(0.09),22.00(0.09),-2.44(0.21) 
J124822.33-011015.3,192.09310,-1.17095,0.136,11.25(0.14),16.978(0.006),16.566(0.005),22.58(0.11),23.87(0.21),-2.46(0.22) 
J124826.07+044550.5,192.10867,4.76408,0.073,11.07(0.18),16.213(0.004),15.739(0.004),21.13(0.05),19.92(0.03),-1.80(0.20) 
J124826.48-000846.1,192.11039,-0.14615,0.092,11.09(0.15),16.298(0.005),15.860(0.004),21.27(0.05),21.02(0.05),-2.03(0.21) 
J124841.23-003333.5,192.17184,-0.55931,0.142,11.35(0.14),17.312(0.007),16.861(0.006),21.64(0.06),21.72(0.06),-1.83(0.20) 
J124855.05+011437.7,192.22943,1.24382,0.092,11.18(0.11),16.242(0.004),15.870(0.004),21.65(0.07),21.20(0.06),-2.15(0.21) 
J124855.50-002634.3,192.23134,-0.44290,0.139,11.60(0.14),17.370(0.008),16.871(0.006),21.90(0.07),21.90(0.08),-1.91(0.20) 
J124857.10+041625.0,192.23795,4.27363,0.137,11.26(0.10),16.959(0.006),16.533(0.005),20.82(0.04),20.53(0.04),-1.58(0.18) 
J124859.92-001920.4,192.24969,-0.32233,0.082,11.02(0.12),16.496(0.005),16.089(0.004),99.00(99.00),22.81(0.13),-3.00(0.22) 
J124909.83-010555.0,192.29100,-1.09857,0.142,11.20(0.14),17.076(0.007),16.704(0.006),23.02(0.13),99.00(99.00),nan(99.00) 
J124913.58-010711.6,192.30661,-1.11991,0.141,11.14(0.14),17.213(0.007),16.771(0.006),22.01(0.07),21.78(0.07),-1.96(0.20) 
J124943.27-013001.9,192.43034,-1.50052,0.081,11.05(0.12),16.464(0.005),16.051(0.004),22.82(0.12),23.42(0.19),-2.70(0.22) 
J124955.97+035020.9,192.48324,3.83917,0.131,11.19(0.16),17.250(0.007),16.826(0.006),22.40(0.09),23.03(0.14),-2.23(0.21) 
J125012.10-003425.9,192.55046,-0.57386,0.146,11.50(0.11),16.481(0.005),16.071(0.004),21.65(0.06),21.21(0.06),-2.07(0.21) 
J125030.51-012130.8,192.62715,-1.35857,0.107,11.13(0.17),17.066(0.007),16.687(0.006),22.94(0.12),21.79(0.10),-2.17(0.21) 
J125042.62+051236.2,192.67764,5.21008,0.091,11.12(0.12),16.304(0.005),15.919(0.004),22.57(0.12),22.68(0.15),-2.60(0.22) 
J125046.36+052549.3,192.69321,5.43037,0.097,11.23(0.11),16.245(0.005),15.828(0.004),21.29(0.07),20.71(0.05),-1.99(0.21) 
J125127.16-010300.3,192.86319,-1.05010,0.094,11.18(0.11),16.148(0.004),15.765(0.004),22.30(0.09),22.66(0.12),-2.58(0.22) 
J125132.18-004321.5,192.88411,-0.72266,0.141,11.19(0.12),17.110(0.007),16.712(0.006),23.42(0.16),24.43(0.30),-2.72(0.22) 
J125159.56+010654.6,192.99820,1.11517,0.148,11.12(0.12),17.599(0.008),17.204(0.007),23.06(0.13),23.67(0.19),-2.34(0.21) 
J125209.73-013833.7,193.04058,-1.64270,0.081,11.17(0.12),16.078(0.004),15.672(0.003),22.43(0.10),22.59(0.12),-2.64(0.22) 
J125245.53+051543.7,193.18976,5.26216,0.131,11.15(0.16),17.008(0.007),16.611(0.005),23.25(0.16),21.75(0.08),-2.22(0.21) 
J125320.73-012440.6,193.33639,-1.41127,0.126,11.14(0.13),16.938(0.006),16.548(0.005),99.00(99.00),99.00(99.00),nan(99.00) 
J125320.75+003919.7,193.33651,0.65551,0.105,11.13(0.10),16.602(0.005),16.180(0.004),24.00(0.19),22.54(0.11),-2.71(0.22) 
J125332.16-015205.5,193.38404,-1.86820,0.120,11.49(0.13),16.329(0.005),15.872(0.004),22.11(0.09),21.85(0.10),-2.35(0.21) 
J125415.96+040538.7,193.56654,4.09408,0.126,11.06(0.15),17.017(0.006),16.674(0.005),22.31(0.09),22.35(0.10),-2.19(0.21) 
J125418.81+045422.5,193.57839,4.90628,0.137,11.09(0.14),17.739(0.009),17.071(0.007),99.00(99.00),99.00(99.00),nan(99.00) 
J125438.69-021755.5,193.66122,-2.29875,0.107,11.00(0.18),16.497(0.005),16.168(0.005),20.53(0.04),20.37(0.04),-1.65(0.19) 
J125508.05+010836.0,193.78357,1.14337,0.124,11.19(0.14),16.658(0.005),16.227(0.004),23.38(0.14),24.35(0.27),-2.88(0.22) 
J125509.28-005314.4,193.78867,-0.88734,0.147,11.13(0.10),17.611(0.008),17.212(0.007),22.79(0.11),22.85(0.13),-2.16(0.21) 
J125530.37-001922.2,193.87656,-0.32283,0.127,11.44(0.12),16.499(0.005),16.108(0.004),20.40(0.03),20.17(0.03),-1.60(0.19) 
J125534.04+045713.3,193.89185,4.95370,0.136,11.05(0.11),17.577(0.008),17.165(0.007),23.43(0.16),24.69(0.50),-2.56(0.22) 
J125540.74+033706.2,193.91983,3.61839,0.110,11.07(0.13),16.891(0.006),16.558(0.005),22.42(0.09),20.53(0.04),-1.81(0.20) 
J125542.88+030821.0,193.92872,3.13919,0.090,11.00(0.12),16.617(0.005),16.208(0.004),21.97(0.08),22.52(0.11),-2.30(0.21) 
J125552.55+045309.9,193.96898,4.88610,0.110,11.19(0.11),16.775(0.006),16.298(0.005),22.37(0.10),23.63(0.29),-2.46(0.22) 
J125553.36+001546.6,193.97236,0.26295,0.133,11.53(0.14),16.568(0.005),16.128(0.004),21.58(0.06),20.96(0.05),-1.97(0.21) 
J125612.09-011155.3,194.05040,-1.19869,0.137,11.25(0.16),16.873(0.006),16.476(0.005),21.30(0.05),21.25(0.06),-1.84(0.20) 
J125629.34-004446.4,194.12227,-0.74621,0.125,11.02(0.12),17.162(0.007),16.796(0.006),22.68(0.10),22.18(0.09),-2.18(0.21) 
J125634.41-001318.2,194.14337,-0.22176,0.134,11.58(0.10),16.130(0.004),15.687(0.003),22.81(0.10),22.56(0.10),-2.71(0.22) 
J125636.57+041102.9,194.15243,4.18416,0.104,11.24(0.15),16.345(0.005),15.920(0.004),23.06(0.13),23.00(0.13),-2.75(0.22) 
J125652.16+030517.0,194.21736,3.08810,0.107,11.30(0.13),16.274(0.005),15.853(0.004),21.46(0.06),21.45(0.06),-2.15(0.21) 
J125710.81+014403.3,194.29509,1.73429,0.106,11.19(0.12),16.559(0.005),16.137(0.004),22.35(0.10),22.24(0.10),-2.38(0.21) 
J125751.61+044911.4,194.46504,4.81986,0.138,11.34(0.11),17.047(0.007),16.576(0.005),22.99(0.14),22.80(0.15),-2.43(0.21) 
J125827.52+030115.8,194.61472,3.02106,0.107,11.02(0.13),16.852(0.006),16.524(0.005),21.76(0.06),99.00(99.00),-2.27(0.21) 
J125832.14-014120.6,194.63393,-1.68908,0.089,11.27(0.10),16.095(0.004),15.669(0.003),23.09(0.13),21.42(0.06),-0.30(99.00) 
J125832.22-013908.5,194.63425,-1.65238,0.120,11.17(0.14),16.676(0.006),16.292(0.005),21.76(0.07),21.05(0.06),-1.97(0.20) 
J125855.01+035700.8,194.72923,3.95026,0.129,11.12(0.24),17.492(0.008),17.034(0.007),22.05(0.08),22.12(0.12),-1.92(0.20) 
