SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J010802.75+005556.7,17.01149,0.93247,0.101,11.11(0.13),16.693(0.005),16.268(0.005),21.94(0.08),21.31(0.06),-2.06(0.21) 
J010813.79+003641.3,17.05749,0.61150,0.108,11.34(0.11),16.238(0.004),15.771(0.004),21.65(0.07),21.76(0.07),-2.27(0.21) 
J010838.07-003006.5,17.15861,-0.50182,0.062,11.03(0.10),15.790(0.004),15.370(0.003),23.23(0.14),22.01(0.09),-2.79(0.22) 
J010856.48+002440.4,17.23536,0.41125,0.124,11.16(0.11),17.164(0.008),16.676(0.005),23.79(0.33),22.38(0.10),-2.43(0.21) 
J010904.46-005709.6,17.26863,-0.95265,0.138,11.44(0.09),16.636(0.005),16.141(0.004),21.72(0.07),21.83(0.09),-2.14(0.21) 
J010910.34-002508.8,17.29309,-0.41911,0.103,11.28(0.10),16.225(0.004),15.773(0.004),22.42(0.10),22.50(0.11),-2.57(0.22) 
J010913.57-002553.2,17.30654,-0.43143,0.103,11.22(0.09),16.427(0.005),15.978(0.004),21.23(0.05),22.00(0.09),-2.10(0.21) 
J011014.26-002713.8,17.55942,-0.45385,0.111,11.26(0.13),16.333(0.005),15.910(0.004),24.18(0.24),23.39(0.18),-3.06(0.22) 
J011014.28-004304.8,17.55955,-0.71802,0.076,11.17(0.12),15.959(0.004),15.512(0.003),24.75(0.33),21.51(0.07),-2.67(0.22) 
J011031.31+003636.6,17.63045,0.61017,0.122,11.01(0.14),16.829(0.006),16.422(0.005),20.18(0.03),19.65(0.02),-1.34(0.16) 
J011034.76+004605.5,17.64486,0.76821,0.091,11.20(0.18),16.749(0.005),16.288(0.004),21.99(0.07),22.78(0.11),-2.31(0.21) 
J011039.52-002601.3,17.66470,-0.43371,0.103,11.27(0.10),16.429(0.005),15.966(0.004),22.64(0.10),22.27(0.09),-2.50(0.22) 
J011207.08+010456.5,18.02951,1.08238,0.122,11.28(0.12),16.644(0.005),16.193(0.004),22.42(0.09),22.43(0.10),-2.39(0.21) 
J011218.70-002434.6,18.07792,-0.40962,0.103,11.36(0.10),16.297(0.005),15.839(0.004),22.38(0.10),21.86(0.08),-2.42(0.21) 
J011229.81-005258.3,18.12424,-0.88284,0.110,11.06(0.09),17.059(0.007),16.591(0.005),22.42(0.07),22.01(0.07),-2.16(0.21) 
J011303.89-010144.9,18.26623,-1.02915,0.110,11.35(0.15),16.377(0.005),15.933(0.004),21.13(0.05),19.39(0.02),-1.58(0.18) 
J011503.26-005322.4,18.76359,-0.88954,0.122,11.01(0.16),17.210(0.007),16.836(0.006),24.09(0.22),22.44(0.11),-2.43(0.21) 
J011522.70+003903.4,18.84459,0.65099,0.115,11.38(0.13),16.328(0.005),15.862(0.004),21.63(0.06),21.23(0.06),-2.14(0.21) 
J011622.82-002615.6,19.09506,-0.43768,0.092,11.20(0.09),16.476(0.005),15.990(0.004),22.37(0.09),21.99(0.08),-2.38(0.21) 
J011628.00-000201.2,19.11668,-0.03369,0.107,11.04(0.13),16.906(0.006),16.452(0.005),22.33(0.09),22.43(0.10),-2.27(0.21) 
J011639.13+003425.2,19.16306,0.57368,0.122,11.03(0.13),17.299(0.007),16.814(0.006),21.55(0.06),21.91(0.08),-1.84(0.20) 
J011826.18+001308.4,19.60908,0.21901,0.147,11.15(0.12),17.190(0.007),16.725(0.006),21.50(0.06),21.83(0.08),-1.86(0.20) 
J011912.74+001743.3,19.80309,0.29538,0.126,11.02(0.15),17.168(0.007),16.741(0.006),25.00(0.48),23.65(0.22),-2.91(0.22) 
J012031.73-003209.6,20.13221,-0.53598,0.093,11.15(0.10),16.519(0.005),16.089(0.004),22.36(0.11),22.24(0.09),-2.40(0.21) 
J012037.04-003107.1,20.15435,-0.51863,0.150,11.32(0.12),17.118(0.007),16.651(0.005),21.84(0.07),22.01(0.08),-2.00(0.21) 
J012042.70+010610.0,20.17794,1.10281,0.133,11.00(0.13),17.224(0.007),16.768(0.006),22.32(0.10),21.47(0.07),-1.96(0.20) 
J012054.49-003133.2,20.22706,-0.52589,0.093,11.64(0.09),15.123(0.003),14.657(0.002),20.15(0.03),19.31(0.02),-1.94(0.20) 
J012209.17+003819.9,20.53821,0.63887,0.132,11.20(0.15),16.714(0.006),16.305(0.005),20.28(0.03),19.85(0.03),-1.44(0.17) 
J012322.37-001314.4,20.84324,-0.22069,0.132,11.11(0.13),17.453(0.008),16.995(0.006),23.98(0.20),25.88(0.58),-2.86(0.22) 
